Feature			Request					Folder\File

		
CONVERSATION		GetConvRequest				\MailClient\Conversation\conversation_get
CONVERSATION		SearchConvRequest			\MailClient\Conversation\conversation_search
CONVERSATION		ConvActionRequest			\MailClient\Conversation\conversation_action
CONVERSATION		ConvActionRequest			\MailClient\Conversation\conversation_basic
CONVERSATION		SearchConvRequest			\MailClient\Conversation\conversation_search_fetch
CONVERSATION		SearchConvRequest			\MailClient\Conversation\conversation
CONVERSATION		ConvActionRequest			\MailClient\Conversation\tcon\convactionrequest_tcon
CONVERSATION		ConvActionRequest			\MailClient\Conversation\tcon\convactionrequest_tcon_j
CONVERSATION		ConvActionRequest			\MailClient\Conversation\tcon\convactionrequest_tcon_s
CONVERSATION		ConvActionRequest			\MailClient\Conversation\tcon\convactionrequest_tcon_t

MISCELLANEOUS		SyncGalRequest				\MailClient\Misc\ (*In progress*)
MISCELLANEOUS		GetInfoRequest				\MailClient\Misc\getinfo_request
MISCELLANEOUS		NoOpRequest				\MailClient\Misc\no_operation
MISCELLANEOUS		CheckSpellingRequest			\MailClient\Misc\spell_check
MISCELLANEOUS							\MailClient\Misc\mailbox_limits

		
CONTACTS		ImportContactsRequest			\MailClient\Contacts\contacts_import
CONTACTS		ExportContactsRequest			\MailClient\Contacts\contacts_export
CONTACTS		CreateContactRequest			\MailClient\Contacts\contacts_create
CONTACTS		ContactActionRequest			\MailClient\Contacts\contacts_action
CONTACTS		GetContactsRequest			\MailClient\Contacts\contacts_get
CONTACTS		ModifyContactRequest			\MailClient\Contacts\contacts_modify
CONTACTS		FolderActionRequest			\MailClient\Contacts\Sharing\permissions_basic
CONTACTS		FolderActionRequest			\MailClient\Contacts\Sharing\share_contact


FOLDERS			CreateFolderRequest			\MailClient\Folders\folders_create
FOLDERS			FolderActionRequest			\MailClient\Folders\folders_action
FOLDERS			GetFolderRequest			\MailClient\Folders\folders_get
FOLDERS			CreateFolderRequest			\MailClient\Folders\folders
FOLDERS			FolderActionRequest			\MailClient\Folders\folders
FOLDERS			CreateSearchFolderRequest		\MailClient\Folders\searchfolder_create
FOLDERS			GetSearchFolderRequest			\MailClient\Folders\searchfolders_get
FOLDERS			FolderActionRequest			\MailClient\Folders\searchfolder_action
FOLDERS			ModifySearchFolderRequest
FOLDERS			CreateMountpointRequest			\MailClient\Folders\Mountpoints\create_mountpoint
FOLDERS			FolderActionRequest			\MailClient\Folders\Sharing\sharing_combine
FOLDERS			CreateMountpointRequest			\MailClient\Folders\Sharing\sharing_combine
FOLDERS			FolderActionRequest			\MailClient\Folders\Sharing\sharing_inherit	
FOLDERS			CreateMountpointRequest			\MailClient\Folders\Sharing\sharing_inherit
FOLDERS			FolderActionRequest			\MailClient\Folders\Sharing\sharing_rights		
FOLDERS			CreateMountpointRequest			\MailClient\Folders\Sharing\sharing_rights

TAGS			TagActionRequest			\MailClient\Tags\tags_action
TAGS			CreateTagRequest			\MailClient\Tags\tags_create
TAGS			GetTagRequest				\MailClient\Tags\tags_get
TAGS			MsgActionRequest			\MailClient\Tags\Mail\tag_mail
TAGS			ItemActionRequest			\MailClient\Tags\Mail\tag_mail
